"","bivalve_ID","Date","shelf","tank","experiment_stage","timepoint","treatment","epf_ph","discolored","TankID","DateWC","PCO2","Sal_Corr","pH","Temp","Collection_Code","pHadj","day_code","day_coden"
"49",17056,2017-06-02,6,3,"exposure","Experiment_1","2800",7.736520368,"no",18,2017-06-02,2800,29.4303335628,7.691011236,16.8,"RRR",0.0455091320000003,24,24
"50",17059,2017-05-17,2,1,"acclimation","Acclimation_2","acclimation",7.724950884,"no",4,2017-05-17,400,29.24121321,7.747211896,17,"RRR",-0.0222610119999995,8,8
"51",17060,2017-05-09,1,2,"acclimation","Acclimation_1","acclimation",7.758554117,"no",2,2017-05-08,400,29.9225324,7.789473684,16.91,"RRR",-0.0309195669999998,0,0
"52",17061,2017-06-06,1,3,"exposure","Experiment_3","400",7.686534013,"no",3,2017-06-06,400,30.12312085,7.790654206,17.1,"RSI",-0.104120193,28,28
"53",17062,2017-08-24,2,3,"exposure","Experiment_7","400",7.78978389,"no",6,2017-08-23,400,31.56227879,7.705223881,19,"RRR",0.0845600089999996,107,107
"54",17063,2017-05-09,4,3,"acclimation","Acclimation_1","acclimation",7.730037066,"no",12,2017-05-08,2800,29.9225324,7.80075188,16.7,"ILIV",-0.0707148139999996,0,0
"55",17064,2017-06-02,3,2,"exposure","Experiment_1","900",7.357935427,"no",8,2017-06-02,900,29.3974137299,7.713483146,17.2,"RSI",-0.355547719,24,24
"56",17065,2017-06-06,5,1,"exposure","Experiment_3","900",7.58157278,"no",13,2017-06-06,900,30.22386707,7.555140187,18,"RRR",0.026432593,28,28
"57",17066,2017-06-05,6,3,"exposure","Experiment_2","2800",7.103646634,"no",18,2017-06-05,2800,30.52271327,7.095684803,17.6,"RRR",0.00796183100000025,27,27
"58",17067,2017-05-09,2,1,"acclimation","Acclimation_1","acclimation",NA,"no",4,2017-05-08,400,30.02227418,7.834586466,16.5,"RSI",NA,0,0
"59",17068,2017-08-24,3,2,"exposure","Experiment_7","900",7.16502947,"no",8,2017-08-23,900,31.59592727,7.453358209,19.9,"RRR",-0.288328739,107,107
"60",17069,2017-06-13,1,1,"exposure","Experiment_4","400",7.81765678,"no",1,2017-06-12,400,30.29696951,7.808795411,17.5,"ILIV",0.0088613689999999,35,35
"61",17070,2017-06-13,1,2,"exposure","Experiment_4","400",6.786948586,"no",2,2017-06-12,400,30.29696951,7.803059273,17.5,"RSI",-1.016110687,35,35
"62",17072,2017-06-13,4,3,"exposure","Experiment_4","2800",7.616121658,"no",12,2017-06-12,2800,30.36474797,7.143403442,17.7,"RRR",0.472718216,35,35
"63",17075,2017-06-26,3,1,"exposure","Experiment_5","900",7.620689655,"no",7,2017-06-26,900,31.179445,7.69273743,17.2,"RSI",-0.0720477750000006,48,48
"64",17076,2017-05-17,6,1,"acclimation","Acclimation_2","acclimation",7.459724951,"no",16,2017-05-17,2800,29.34135435,7.752788104,17.2,"RRR",-0.293063153,8,8
"65",17077,2017-06-02,1,1,"exposure","Experiment_1","400",7.254684989,"no",1,2017-06-02,400,29.2986542213,7.707865169,17.4,"ILIV",-0.453180179999999,24,24
"66",17078,2017-06-02,4,2,"exposure","Experiment_1","2800",7.26615726,"no",11,2017-06-02,2800,29.2986542213,7.730337079,17.1,"RSI",-0.464179819,24,24
"67",17079,2017-08-22,2,3,"exposure","Experiment_7","400",7.449509521,"no",6,2017-08-21,400,31.22782979,7.836431227,19.4,"RRR",-0.386921706,105,105
"68",17080,2017-06-06,5,2,"exposure","Experiment_3","900",7.512475024,"no",14,2017-06-06,900,30.22386707,7.527102804,18.5,"ILIV",-0.0146277800000005,28,28
"69",17082,2017-08-22,3,3,"exposure","Experiment_7","900",7.553375649,"no",9,2017-08-21,900,31.22782979,7.568773234,19.4,"RRR",-0.0153975849999997,105,105
"70",17083,2017-05-17,5,2,"acclimation","Acclimation_2","acclimation",7.16502947,"yes",14,2017-05-17,900,29.34135435,7.758364312,17.6,"ILIV",-0.593334842,8,8
"71",17084,2017-05-17,4,3,"acclimation","Acclimation_2","acclimation",7.430255403,"no",12,2017-05-17,2800,29.34135435,7.758364312,18.6,"RSI",-0.328108909,8,8
"72",17085,2017-07-24,6,1,"exposure","Experiment_6","2800",7.005758157,"no",16,2017-07-24,2800,30.74333033,7,19.1,"RRR",0.00575815699999982,76,76
"73",17086,2017-06-02,5,1,"exposure","Experiment_1","900",7.610325388,"no",13,2017-06-02,900,29.4632533957,7.724719101,17.4,"ILIV",-0.114393713,24,24
"74",17089,2017-08-24,3,1,"exposure","Experiment_7","900",7.353634578,"no",7,2017-08-23,900,31.59592727,7.447761194,19.9,"RRR",-0.0941266159999996,107,107
"75",17090,2017-06-13,6,2,"exposure","Experiment_4","2800",7.420344683,"no",17,2017-06-12,2800,30.29696951,7.17208413,17.1,"RSI",0.248260553,35,35
"76",17092,2017-05-09,3,1,"acclimation","Acclimation_1","acclimation",7.752850707,"no",7,2017-05-08,900,29.98902692,7.806390977,16.25,"RSI",-0.0535402700000001,0,0
"77",17093,2017-06-13,3,3,"exposure","Experiment_4","900",7.731284585,"no",9,2017-06-12,900,30.29696951,7.51625239,17.2,"RRR",0.215032195,35,35
"78",17094,2017-08-22,6,2,"exposure","Experiment_7","2800",7.172533179,"no",17,2017-08-21,2800,31.22782979,7.066914498,19.3,"ILIV",0.105618681,105,105
"79",17095,2017-06-26,1,1,"exposure","Experiment_5","400",7.632183908,"no",1,2017-06-26,400,31.146098,7.960893855,17.5,"RSI",-0.328709947,48,48
"80",17096,2017-06-02,4,3,"exposure","Experiment_1","2800",7.719311962,"no",12,2017-06-02,2800,29.3644938871,7.724719101,17.1,"RRR",-0.00540713899999989,24,24
"81",17097,2017-06-02,6,1,"exposure","Experiment_1","2800",7.552964033,"no",16,2017-06-02,2800,29.4303335628,7.707865169,17,"ILIV",-0.154901135999999,24,24
"82",17098,2017-06-05,4,1,"exposure","Experiment_2","2800",7.380037658,"no",10,2017-06-05,2800,30.52271327,7.084427767,17.8,"RSI",0.295609891,27,27
"83",17099,2017-08-22,1,3,"exposure","Experiment_7","400",7.668782458,"no",3,2017-08-21,400,31.22782979,7.82527881,19.5,"RRR",-0.156496352,105,105
"84",17103,2017-05-09,3,2,"acclimation","Acclimation_1","acclimation",7.501900661,"no",8,2017-05-08,900,29.9225324,7.806390977,16.3,"RRR",-0.304490316000001,0,0
"85",17104,2017-06-06,2,3,"exposure","Experiment_3","400",7.692303254,"no",6,2017-06-06,400,30.19028499,7.829906542,17.9,"RSI",-0.137603288,28,28
"86",17106,2017-07-24,5,2,"exposure","Experiment_6","900",7.644913628,"no",14,2017-07-24,900,30.54304805,7.531428571,18.8,"RRR",0.113485057,76,76
"87",17107,2017-05-17,6,3,"acclimation","Acclimation_2","acclimation",7.418467583,"no",18,2017-05-17,2800,29.34135435,7.769516729,17,"RSI",-0.351049146,8,8
"88",17108,2017-06-13,6,3,"exposure","Experiment_4","2800",7.633396097,"no",18,2017-06-12,2800,30.29696951,7.154875717,17.1,"ILIV",0.47852038,35,35
"89",17109,2017-06-02,2,2,"exposure","Experiment_1","400",7.719311962,"no",5,2017-06-02,400,29.4303335628,7.713483146,16.7,"RSI",0.00582881600000018,24,24
"90",17110,2017-06-26,4,2,"exposure","Experiment_5","2800",7.333333333,"no",11,2017-06-26,2800,31.279486,7.324022346,16.6,"ILIV",0.0093109870000001,48,48
"91",17111,2017-07-24,2,1,"exposure","Experiment_6","400",7.598848369,"no",4,2017-07-24,400,30.64318919,7.811428571,18,"RRR",-0.212580202000001,76,76
"92",17112,2017-05-09,1,1,"acclimation","Acclimation_1","acclimation",7.564638173,"no",1,2017-05-08,400,30.08876869,7.789473684,16.9,"RSI",-0.224835511,0,0
