"RNA17005" "RNA17007" "RNA17013" "RNA17019" "RNA17069" "RNA17070" "RNA17072" "RNA17079" "RNA17090" "RNA17094" "RNA17099" "RNA17108" "RNA17122" "RNA17130" "RNA17142" "RNA17145" "RNA17162" "RNA17174" "RNA17176" "RNA17178" "RNA17181" "RNA17203" "RNA17211" "RNA17213"
"LOC111099214" 2 6 3 17 1 8 20 6 8 13 3 9 1 10 5 3 0 4 3 2 6 6 14 5
"LOC111099215" 1 0 0 2 3 1 21 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 1 0
"LOC111099216" 2 0 0 0 3 1 0 0 1 0 1 0 0 0 0 0 1 2 0 2 0 0 3 3
"LOC111099217" 17 12 15 21 15 2 1 1 9 6 31 10 7 25 31 51 4 28 4 5 1 2 6 2
"LOC111099218" 6 7 4 4 8 8 1 2 7 4 5 4 6 5 9 3 2 17 5 7 5 7 11 5
"LOC111099219" 1 2 2 2 0 2 1 3 2 3 0 1 1 1 0 2 4 1 1 2 0 5 2 3
"LOC111099220" 18 18 23 13 5 7 13 10 6 17 8 21 12 15 11 23 9 15 11 17 6 23 2 10
"LOC111099221" 8 5 6 5 4 5 11 6 6 2 6 15 6 3 4 8 4 9 8 5 7 9 10 11
"LOC111099222" 1 3 3 5 5 3 1 2 5 4 1 3 3 3 2 2 3 8 5 2 2 3 10 3
"LOC111099223" 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"LOC111099224" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099225" 2 0 2 1 1 0 0 1 2 1 0 0 3 0 2 0 0 0 1 1 1 0 1 0
"LOC111099226" 4 3 2 6 6 0 1 1 6 2 0 2 4 4 10 4 0 6 3 6 1 1 1 3
"LOC111099227" 1 3 3 1 28 4 2 4 3 3 2 3 11 5 0 1 2 2 1 5 2 2 5 4
"LOC111099228" 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 2 0 0
"LOC111099229" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"LOC111099230" 0 6 0 0 1 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"LOC111099246" 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"LOC111099262" 5 0 1 0 3 1 9 0 0 1 5 0 1 0 5 0 3 6 24 0 3 0 1 5
"LOC111099278" 1 2 1 3 0 0 0 0 0 0 0 6 2 0 1 0 0 1 0 4 0 1 0 0
"LOC111099289" 1 2 7 4 10 2 6 8 7 8 8 2 5 3 6 3 2 8 35 2 4 3 2 1
"LOC111099300" 2 0 1 1 2 0 3 1 2 1 2 0 4 1 0 1 5 5 0 2 2 2 1 2
"LOC111099316" 1 0 0 0 5 2 2 0 0 7 0 0 2 2 11 1 2 4 17 0 0 2 9 0
"LOC111099327" 3 1 1 0 6 1 2 2 3 8 2 0 3 4 3 2 0 1 0 2 2 8 1 4
"LOC111099343" 4 5 3 1 3 4 1 3 2 4 8 1 1 4 3 7 4 2 6 6 3 5 2 3
"LOC111099359" 3 2 0 1 3 24 3 1 8 2 3 5 1 3 52 6 0 3 4 43 2 7 6 17
"LOC111099375" 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 3 1 1 0 0 1 0
"LOC111099408" 0 0 0 0 1 0 1 1 0 0 0 1 2 0 0 0 0 3 8 0 0 0 1 0
"LOC111099409" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"LOC111099410" 17 9 27 20 28 16 10 5 26 14 12 18 7 6 16 8 18 18 17 5 24 22 10 7
"LOC111099411" 0 1 0 1 1 0 0 0 0 1 2 0 0 2 1 0 0 1 0 1 7 1 1 13
"LOC111099412" 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099413" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
"LOC111099414" 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"LOC111099415" 0 0 0 0 0 0 35 0 1 0 0 0 0 0 0 0 0 19 0 3 1 9 0 0
"LOC111099416" 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0
"LOC111099417" 0 0 0 5 3 0 0 0 0 1 0 0 1 0 0 1 5 0 3 0 2 3 0 2
"LOC111099418" 1 1 2 1 8 1 0 1 0 1 0 3 0 34 4 1 2 2 4 0 3 1 0 6
"LOC111099419" 1 0 0 1 1 1 1 0 0 0 0 0 3 3 0 1 1 1 0 2 1 0 0 3
"LOC111099420" 1 0 2 0 1 0 1 2 2 1 1 0 0 1 0 0 0 1 5 0 0 0 1 2
"LOC111099421" 0 0 0 2 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0
"LOC111099422" 0 0 0 28 11 0 7 0 0 0 0 0 8 0 0 0 0 1 0 0 13 0 0 0
"LOC111099423" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"LOC111099424" 5 2 1 5 11 0 1 2 0 1 3 1 2 1 1 3 1 5 2 0 6 1 1 1
"LOC111099425" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
