"","RNA17005","RNA17007","RNA17013","RNA17019","RNA17069","RNA17070","RNA17072","RNA17079","RNA17090","RNA17094","RNA17099","RNA17108","RNA17122","RNA17130","RNA17142","RNA17145","RNA17162","RNA17174","RNA17176","RNA17178","RNA17181","RNA17203","RNA17211","RNA17213"
"LOC111121195",1.58496250072116,2,1,1,2,1,2,1,2,1,2.58496250072116,1.58496250072116,0,1,1,1,1,0,2.58496250072116,1,0,2.8073549220576,1,2.8073549220576
"LOC111121200",2.58496250072116,3.16992500144231,0,3.32192809488736,4.85798099512757,2.8073549220576,3.4594316186373,3.4594316186373,3,3,3.16992500144231,2,4.39231742277876,2,2.8073549220576,4.08746284125034,2,4.8073549220576,2.8073549220576,2.32192809488736,0,3.32192809488736,2.8073549220576,3.58496250072116
"LOC111121210",2.32192809488736,2.8073549220576,2.8073549220576,1.58496250072116,2.8073549220576,3.16992500144231,2.32192809488736,2.32192809488736,2.32192809488736,2,3.90689059560852,2,1.58496250072116,3.16992500144231,2.32192809488736,2,3,2,2.32192809488736,2.32192809488736,1.58496250072116,2.32192809488736,1,2
"LOC111121238",3,6.2667865406949,2.58496250072116,1,3.70043971814109,2.58496250072116,1.58496250072116,2.58496250072116,2.32192809488736,2.58496250072116,2,2.32192809488736,2,2,3.16992500144231,2,2.32192809488736,2.8073549220576,2,3.16992500144231,3.4594316186373,2.58496250072116,2.8073549220576,3.70043971814109
"LOC111121255",0,1.58496250072116,1,1.58496250072116,1,1,1,0,1,1.58496250072116,1.58496250072116,1.58496250072116,1,0,0,3.70043971814109,1,2.58496250072116,0,1,1,2.32192809488736,1,2.58496250072116
"LOC111121263",3.8073549220576,3,2,3,3.32192809488736,3.58496250072116,3,3.70043971814109,2.58496250072116,3.90689059560852,1,1.58496250072116,2.8073549220576,2.8073549220576,2.32192809488736,4.16992500144231,3,3.16992500144231,2.8073549220576,3.8073549220576,3.32192809488736,4.16992500144231,4.08746284125034,3.90689059560852
"LOC111121266",2,3,2.58496250072116,0,3.8073549220576,2,1.58496250072116,1,2.8073549220576,2.32192809488736,3.16992500144231,2,2,1.58496250072116,1,1.58496250072116,2,2.58496250072116,2,2.8073549220576,2,2.8073549220576,3,2.58496250072116
"LOC111121273",4.70043971814109,5.55458885167764,4.64385618977472,4.39231742277876,5.08746284125034,4.24792751344359,4.08746284125034,4.58496250072116,4.4594316186373,5,5.12928301694497,4.24792751344359,5.20945336562895,4.52356195605701,4,5.04439411935845,5.24792751344359,5.75488750216347,4.70043971814109,4.52356195605701,3.32192809488736,5.58496250072116,5.20945336562895,5.4262647547021
"LOC111121293",5.64385618977472,5.52356195605701,6.02236781302845,6.32192809488736,5.61470984411521,6.16992500144231,5.4594316186373,6.04439411935845,5.7279204545632,5.64385618977472,6.04439411935845,5.55458885167764,5.78135971352466,5.85798099512757,5.95419631038687,5.58496250072116,6.16992500144231,6.39231742277876,6.22881869049588,6.02236781302845,5.7279204545632,5.55458885167764,5.85798099512757,5.7279204545632
"LOC111121296",6.35755200461808,5.85798099512757,6.35755200461808,5.83289001416474,5.85798099512757,6.20945336562895,5.95419631038687,5.97727992349992,5.95419631038687,5.88264304936184,5.90689059560852,5.64385618977472,5.6724253419715,5.8073549220576,5.93073733756289,5.64385618977472,6.28540221886225,5.55458885167764,5.78135971352466,6.06608919045777,5.4262647547021,5.85798099512757,5.70043971814109,5.75488750216347
"LOC111121297",2.8073549220576,2,2,2.8073549220576,0,3.70043971814109,2.32192809488736,2.58496250072116,1.58496250072116,2.32192809488736,2.32192809488736,2,2.8073549220576,3,0,1,3.16992500144231,3,3.32192809488736,0,1,1.58496250072116,3.8073549220576,1
"LOC111121306",3.8073549220576,3.58496250072116,2.32192809488736,2.8073549220576,4.32192809488736,3.16992500144231,3.16992500144231,2,2.32192809488736,4.24792751344359,3,2.58496250072116,2,3.16992500144231,2,3.4594316186373,3.4594316186373,2.32192809488736,2.58496250072116,2.8073549220576,2.58496250072116,4.24792751344359,2.8073549220576,3.32192809488736
